#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-09-02T18:25:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631248d42a3e4c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-order=I
#-out.src=I/239/hip_main
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=hipparcos&HTTPPRM:&&-ref=VIZ631248d42a3e4c&-out.max=50&-out.form=HTML Table&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Vmag&Vmag=<=6&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-ignore=HIPep=*&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_main
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-out=HIP
#-out=Vmag
#Vmag=<=6
#-out=Plx
#-out=pmRA
#-out=pmDE
#-out=e_Plx
#-out=B-V
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
HIP|Vmag|Plx|pmRA|pmDE|e_Plx|B-V|_RA.icrs|_DE.icrs
 |mag|mas|mas/yr|mas/yr|mas|mag|deg|deg
------|-----|-------|--------|--------|------|------|------------|------------
    88| 5.71|   5.97|  -17.92|   -6.75|  0.70| 0.911|000.26909344|-48.80987560
   107| 5.53|   5.84|    7.34|   10.59|  0.61| 1.615|000.33383021|-50.33737333
   122| 4.78|  14.77|  -56.52| -176.95|  0.47| 1.254|000.39876554|-77.06572447
   124| 5.58|   0.86|   -2.80|   -1.34|  0.56| 0.407|000.40423123|+61.22280080
   145| 5.13|   7.98|   18.90|  -10.25|  0.71|-0.128|000.45603512|-03.02750382
   154| 4.37|   7.86|   46.62|  -41.32|  0.94| 1.631|000.49007900|-06.01407212
   171| 5.80|  80.63|  778.59| -918.72|  3.03| 0.690|000.54231321|+27.08225603
   183| 5.04|   6.40|    9.66|   14.00|  0.87|-0.150|000.58300278|-29.72041402
   194| 5.70|  26.53|  -93.55|  -47.50|  0.77| 0.315|000.62375948|+08.48546309
   207| 5.87|   1.57|    3.32|    1.14|  1.67| 1.073|000.65036241|+66.09896618
   301| 4.55|  14.31|   28.57|   -7.28|  0.92|-0.047|000.93495762|-17.33598771
   330| 5.90|   0.89|   -0.99|   -0.37|  0.58| 0.274|001.05692695|+62.28766370
   343| 5.78|  11.29|   53.77|  -60.27|  0.92| 1.084|001.08247517|-16.52903618
   355| 4.99|   2.03|   -6.49|  -11.88|  0.93| 1.619|001.12549376|-10.50952330
   377| 5.59|   5.70|   30.00|  -13.62|  0.53|-0.100|001.17211746|-71.43689145
   379| 5.68|  10.30|   95.58|   23.80|  0.58| 1.051|001.17492163|+67.16644546
   418| 5.80|   4.50|   14.29|    2.24|  0.56|-0.067|001.27562467|+61.31397012
   443| 4.61|  25.38|   -8.29|   88.19|  1.05| 1.029|001.33392048|-05.70761820
   476| 5.55|   8.75|   42.59|   -6.51|  0.80| 0.901|001.42483879|+13.39626645
   518| 5.98|  49.30|  247.36|   17.77|  1.05| 0.687|001.56589255|+58.43673285
   522| 5.70|  39.00|  575.21|  -39.94|  0.64| 0.519|001.57989765|-49.07519111
   531| 5.57|   3.32|    9.70|    0.01|  0.54|-0.023|001.61058271|+64.19616861
   636| 5.93|  12.45|   70.10|  -34.71|  0.74| 0.141|001.94541637|-22.50855978
   655| 5.67|  10.02|  -42.75|    3.15|  0.71| 1.119|002.01453070|-33.52932605
   671| 5.99|   9.79|  -34.13|  -35.67|  0.92| 1.034|002.07305222|-08.82411211
   677| 2.07|  33.60|  135.68| -162.95|  0.73|-0.038|002.09691071|+29.09043199
   729| 5.57|  11.17|  140.93|  -25.57|  0.72| 1.043|002.26010290|+18.21196314
   746| 2.28|  59.89|  523.39| -180.42|  0.56| 0.380|002.29452113|+59.14977960
